AT943 ROSSI PUGLIA 86 74 62 74.00
IS145 FERRARI PIEMONTE 87 53 63 67.00
IR845 RUSSO PIEMONTE 99 85 86 90.00
IM984 BIANCHI LOMBARDIA 77 57 34 56.00
CV952 ROMANO PUGLIA 34 65 37 45.00
SW122 GALLO VENETO 85 92 77 84.00
OI250 COSTA PIEMONTE 88 68 75 77.00
AW894 FONTANA MOLISE 75 86 56 72.00
PW015 CONTI LOMBARDIA 88 33 68 63.00
QJ768 ESPOSITO MOLISE 98 99 96 97.00
TE525 RICCI PUGLIA 45 58 56 53.00
TV010 BRUNO LIGURIA 65 45 85 65.00
MG629 RIZZO LIGURIA 57 65 62 61.00
PO953 MORETTI VENETO 78 88 75 80.00
MV515 MARINO LOMBARDIA 66 74 84 74.00
PQ031 GRECO PIEMONTE 85 74 63 74.00
MB834 BARBIERI PUGLIA 45 65 59 56.00
BI245 LOMBARDI MOLISE 89 95 75 86.00
BQ955 GIORDANO LAZIO 77 82 69 76.00
JF573 RINALDI PIEMONTE 50 47 62 53.00
VD952 COLOMBO MOLISE 70 51 62 61.00
OI994 MANCINI PUGLIA 62 65 67 64.00
UK726 LONGO LAZIO 75 65 74 71.00
ZZ564 CAIRO PIEMONTE 12 13 14 13.00
